Category,Month,Longitude,Latitude,Count
Anti_Social,1,-5.068697,50.15462700000001,2
Anti_Social,1,-5.068358,50.405886,1
Anti_Social,1,-5.068294,50.154232,4
Anti_Social,1,-5.067938,50.1548,1
Anti_Social,1,-5.067826999999999,50.4188,1
Anti_Social,1,-5.067697,50.152772999999996,1
Anti_Social,1,-5.067697,50.152773,1
Anti_Social,1,-5.067695,50.406956,2
Anti_Social,1,-5.067662,50.261461,8
Anti_Social,1,-5.067082,50.151485,4
Anti_Social,1,-5.0667230000000005,50.152214,2
Anti_Social,1,-5.066579,50.417573,1
Anti_Social,1,-5.066516,50.152696,1
Anti_Social,1,-5.066227,50.404061999999996,1
Anti_Social,1,-5.066227,50.404062,1
Anti_Social,1,-5.066122,50.40527,1
Anti_Social,1,-5.0660300000000005,50.152763,1
Anti_Social,1,-5.065945,50.416699,2
Anti_Social,1,-5.065816000000001,50.151608,1
